eatery_adddress eatery_cost eatery_cuisine eatery_id eatery_name eatery_F_M_Station  eatery_S_M_Station  eatery_highlights eatery_buffet_price eatery_buffet_details eatery_photos eatery_should_order eatery_popular_reviews eatery_trending eatery_opening_hours eatery_coordinates eatery_rating  eatery_wishlists eatery_title eatery_url converted_epoch eatery_id review_likes review_summary review_text review_time review_url scraped_epoch user_followers user_id user_name user_reviews user_url
     distance name distance name          rating votes              
 Costfor2:Rs.4000 "Finger Food, North Indian, Turkish, American" 304655 "Club Pangaea - The Ashok" "2.2 km" "Race Course Metro Station" "3.8 km" "Udyog Bhawan Metro Station" "[u'No Home Delivery', u'Dine-In Available', u'Serves Non Veg', u'Serves Alcohol', u'Air Conditioned', u'Nightclub', u'Lounge']"   True  24 "[u'Hot Clubspots']" "9 PM to 4 AM (Wed-Sat), Mon, Tue &amp; Sun Closed" 28.5969760000,77.1957960000 3.8 "363 votes" "Very Good" 482 https://www.zomato.com/ncr/club-pangaea-ashok-chanakyapuri-delhi  304655
                      1409641678 54056cd40d0cee4a2cfd0ce9 3057802 2583791 16 "Samarth Verma" https://www.zomato.com/feverhotsam  304655 "2014-08-24 14:06:55" 12 Legendary https://www.zomato.com/review/XBryeZ 1 1408869415.0
                      1409641679 54056cd50d0cee4a2cfd0cea 3068277 2473531 13 "Sandeep Sahni" https://www.zomato.com/users/sandeep-sahni-3068277 "The most pathetic club ever been in my life, there management sucks special director of operations . Very rude people,talks like they owe us.we booked the entire Pangea for a party, in the start it was good but as 1 hour passed we all were literally begging them for food. There was no service at all, when we complained then they told us rudely that 'we can't help it' .they committed us that the music will shut at 12 30. But they stopped the music at 10 30 pm. When I went there to ask what's the problem then there director of operation told me we can help it if you want to complain then complaine we don't care , we are corporates we know how to tackle leagal issues and after that he told the bouncers that take everyone out. We argued but it was of no use because of there high headed and arrogent behaviour . So at the end after spending lakhs of rupees in a party we got no food no drinks no music but arogence . It was the worst time of my life . And I must tell you...read more" 304655 "2014-08-20 16:53:42" 1  https://www.zomato.com/review/PKAEpE  1408533822.0
                      1409641679 54056cd50d0cee4a2cfd0ceb 1515626 2331371 21 "SarGun Bedi" https://www.zomato.com/users/sargun-bedi-1515626 "Its average." 304655 "2014-08-16 05:38:34" 28 Poor https://www.zomato.com/review/oQxwxx  1408147714.0
                      1409641679 54056cd50d0cee4a2cfd0cec 3179619 2144691 7 "Sushmita Sinha" https://www.zomato.com/users/sushmita-sinha-3179619 "Awesome music and drinks... Fabulous dj... Luv dis place" 304655 "2014-08-11 18:26:10" 8 Excellent https://www.zomato.com/review/XBNXoL  1407761770.0
                      1409641679 54056cd50d0cee4a2cfd0ced 926681 2066541 26 "Somya Shringi" https://www.zomato.com/users/somya-shringi-926681 "We went there on a Sat night which was apparently bollywood night.The place got jam packed by 11 ish.The music is good but it got very crowded as the night progressed. Good crowd and expensive drinks - which any 1 would expect from this kind of place.The only turn off was they shut the music by 12:45 which i think is too early considering its in a 5 star.Overall, nice place for clubbing" 304655 "2014-08-09 13:52:25" 23 Excellent https://www.zomato.com/review/ZPOXQm 1 1407572545.0
                      1409641679 54056cd50d0cee4a2cfd0cee 2444818 1957821 8 "Rajat Jain" https://www.zomato.com/users/rajat-jain-2444818 "Decent crowd. Awesome dj. Little expensive. A must visit." 304655 "2014-08-05 18:12:01" 5 Excellent https://www.zomato.com/review/DDRlKg  1407242521.0
                      1409641679 54056cd50d0cee4a2cfd0cef 127001 1064941 25 "Sakshi Bindra" https://www.zomato.com/users/sakshi-bindra-127001 "Having an international brand value, a good ambiance DOES NOT make you a good club!! I held a bachelorette party for my friend here. I spoke to Mr Sachin (manager) a week before the party &amp; met with him 2 days prior to the D-day (just to make sure) &amp; he confirmed he'll give us a table and free IMFL drinks (excluding wine) as it was a ladies night. ""We will make special shots for you and give you welcome drinks as we would like you guys to enjoy as this would look great for our club on a ladies night""- were his words.I confirmed with Sachin even on the day of the party in the afternoon &amp; he confirmed the same. We arrived there sharp at the time we had confirmed &amp; told the bartender to make us a welcome shot. ""Only whiskey shots""- he said. I told him, no one drinks whiskey in our group, so it would be better if he can make vodka based shots. ""we are out of vodka"". I was zapped. How can such a high-end club like Pangaea be out of vodka on a ladies night!!! I...read more" 304655 "2014-07-31 16:02:40" 8  https://www.zomato.com/review/Zqkaq 2 1406802760.0
                      1409641679 54056cd60d0cee4a2cfd0cf0 2643954 1032072 20 "Prerna Singla" https://www.zomato.com/users/prerna-singla-2643954 "AAAmmaazziiinnnggg interiors.The theme of  the lounge is amazing.Also the drinks are good.Amazing music and the djs.Wednesday ladies night has a amazing concept of queen of the day.Loved it." 304655 "2014-07-23 15:11:59" 10 "Very Good" https://www.zomato.com/review/gKqwA  1406108519.0
                      1409641679 54056cd60d0cee4a2cfd0cf1 2454932 1028163 2 "Hemant Gupta" https://www.zomato.com/simplyhemu "Ultimate place to chill out. Best place. Electric music n ambience tastefully done interiors. Everything rocks. Far better than other discs. Very nice crowd only adds to the ultimate night out experience" 304655 "2014-07-22 02:34:22" 9 Excellent https://www.zomato.com/review/vPRDz  1405976662.0
                      1409641679 54056cd60d0cee4a2cfd0cf2 3157275 1022204 2 "Parneet Singh" https://www.zomato.com/users/parneet-singh-3157275  304655 "2014-07-20 12:23:29" 1 Legendary https://www.zomato.com/review/gKNqk  1405839209.0
                      1409641679 54056cd60d0cee4a2cfd0cf3 198732 1004938 27 "Ankit Sharma" https://www.zomato.com/users/ankit-sharma-198732 "The place is overrated ! The moment u reach the place you can experience the ill treatment of the reception staff and then the place has been compressed n not much to offer .." 304655 "2014-07-13 19:58:32" 12 Poor https://www.zomato.com/review/gOoDN  1405261712.0
