eatery_adddress eatery_cost eatery_cuisine eatery_id eatery_name eatery_F_M_Station  eatery_S_M_Station  eatery_highlights eatery_buffet_price eatery_buffet_details eatery_photos eatery_should_order eatery_popular_reviews eatery_trending eatery_opening_hours eatery_coordinates eatery_rating  eatery_wishlists eatery_title eatery_url converted_epoch eatery_id review_likes review_summary review_text review_time review_url scraped_epoch user_followers user_id user_name user_reviews user_url
     distance name distance name          rating votes              
 Costfor2:Rs.3000 "Chinese, Thai, Mexican, European, North Indian" 8893 Raasta "2 km" "Green Park Metro Station" "2.6 km" "Hauz Khas Metro Station" "[u'No Home Delivery', u'Dine-In Available', u'Serves Non Veg', u'Serves Alcohol', u'Air Conditioned', u'Outdoor Seating', u'Lounge']"   True CaribbeanChicken,GalautiKebab,ChilliPaneer 89  "12 Noon to 12:30 AM" 28.5536020000,77.1942640000 3.7 "1105 votes" "Very Good" 513 https://www.zomato.com/ncr/raasta-hauz-khas-village-new-delhi  8893
                      1409569760 540453e60d0cee69ad0ae1c2 5576161 2768441 10 "Nehal Kaur" https://www.zomato.com/users/nehal-kaur-5576161  8893 "2014-08-31 01:53:28" 17 Legendary https://www.zomato.com/review/ZMMdpr  1409430208.0
                      1409569760 540453e60d0cee69ad0ae1c3 340560 2614571 46 "Sumit Chatterjee" https://www.zomato.com/sumitchatterjee "Music in the begining was good however later the music was sad.... Over crowded sunday...inspite of pre booking of table, i got the table after few hours...Food is decent" 8893 "2014-08-25 12:15:43" 19 Average https://www.zomato.com/review/oQnexR  1408949143.0
                      1409569760 540453e60d0cee69ad0ae1c4 3836011 2566291 1 Akanksha https://www.zomato.com/users/akanksha-3836011  8893 "2014-08-23 22:57:46" 4 "Very Good" https://www.zomato.com/review/XBroKL  1408814866.0
                      1409569760 540453e60d0cee69ad0ae1c5 4838761 2558411 1 "Nisha Tadhiyal" https://www.zomato.com/users/nisha-tadhiyal-4838761 "Good place to have get together however boring music. Wait timing is so high and you have to look for servicemen often to have you served. Smoking zone is non ac. Economical !!!" 8893 "2014-08-23 18:45:35" 1 Average https://www.zomato.com/review/KPbBOM  1408799735.0
                      1409569760 540453e60d0cee69ad0ae1c6 947820 2497731 5 "Sakshi Dogra Chahal" https://www.zomato.com/users/sakshi-dogra-chahal-947820 "Plus point is they have open area for smokers . Decent food and good cocktails. The sad part was their wine menu. Very limited stock." 8893 "2014-08-21 16:02:18" 5 Average https://www.zomato.com/review/PKdgqx  1408617138.0
                      1409569760 540453e60d0cee69ad0ae1c7 3073518 2485751 8 "Ruchira Guha" https://www.zomato.com/users/ruchira-guha-3073518 "The overall feel of this place is awesome. The karaoke nights, the food, the cocktails and the crowd amuse me without fail. Caribbean chicken, jamaican chicken, lamb empanadas and mezze platter are must haves just to name a few. Though it is slightly disappointing that they have stopped serving thai food which used to be lipsmacking. After a hectic brainstorming day, this is one of the best places to relax, have a beer and chill out with friends." 8893 "2014-08-21 00:33:30" 22 "Very Good" https://www.zomato.com/review/AMqgDv  1408561410.0
                      1409569760 540453e70d0cee69ad0ae1c8 163196 2476781 127 "Andy Von Eich" https://www.zomato.com/andymania "Raasta in Hauz Khas Village is surely on of the established hang out places in town. It's give an atmosphere which is chilled out with a fresh Caribbean Vibe.Music is mostly uncommercial but also enjoyable for non underground crowed. In total in tops the expectation, as it is much more than a Reggae Bar.I actually only had food there once which was a small snack between a couple of beers, but it was very tasty.For sure a great place to to cool off with a refreshing drink during the head." 8893 "2014-08-20 19:06:50" 41 Good https://www.zomato.com/review/qzodrZ  1408541810.0
                      1409569760 540453e70d0cee69ad0ae1c9 1436112 2472761 61 "Vasundra Banga" https://www.zomato.com/vasundra "We went to Raasta for my friend's birthday celebration and I must say I was impressed (I mean come on, it is inspired by Bob Marley). The place has a nice ambience with pretty comfy sofas. The staff is really friendly (We wanted to blast the party popper and make a mess and they let us). The place wasn't much crowded back in March, can't say much about now, since it has gained popularity due to the music scene (Reggae, which is great).Must try the red wine sangria, hummus platter and cheesecake" 8893 "2014-08-20 16:13:26" 8 Excellent https://www.zomato.com/review/pvDQem  1408531406.0
                      1409569760 540453e70d0cee69ad0ae1ca 89337 2437141 139 "Neha Mansharamani" https://www.zomato.com/nehamansharamani25 "The nights are really good... everybody is busy in their own and one can have awesome fun with friends over the drinks." 8893 "2014-08-19 10:18:58" 67 Excellent https://www.zomato.com/review/ZPpKbm  1408423738.0
                      1409569760 540453e70d0cee69ad0ae1cb 3644111 2398221 3 "Antara Guha" https://www.zomato.com/users/antara-guha-3644111  8893 "2014-08-17 23:56:41" 6 "Very Good" https://www.zomato.com/review/DDlonk 1 1408300001.0
                      1409569760 540453e70d0cee69ad0ae1cc 53681 2380641 41 "Noor Anand" https://www.zomato.com/Nooranandchawla "Hauz Khas Village is now the favoured hang-out for most of the spending youth, leading to a vast number of food/drink joints setting up shop there.Raasta's been around for a while now, and is definitely one of the go-to places in HKV, evident from its continuing popularity despite stiff competition.The place has a nice vibe. There are special music related theme nights, karaoke on Tuesday's being a popular choice. The drinks and food are nominally priced, and the crowd a decent sort." 8893 "2014-08-17 16:04:39" 26 Average https://www.zomato.com/review/ZPEXDY 1 1408271679.0
                      1409569760 540453e70d0cee69ad0ae1cd 356892 2367381 26 "Dipankar Choudhary" https://www.zomato.com/users/dipankar-choudhary-356892 "Awesome place. Nice and calm. The staff is super polite and service great. The recipes are very reasonably priced and the drinks served in a spectacular manner." 8893 "2014-08-17 08:17:54" 1 "Very Good" https://www.zomato.com/review/qzDMbo  1408243674.0
                      1409569760 540453e70d0cee69ad0ae1ce 1753477 2362171 22 "Shruti Gupta" https://www.zomato.com/shrutigupta "Raasta is usually very crowded, and they lack sufficient seating availability.Food and drinks are kind off average. Pocket friendly. But i hate to stand and eat and i always prefer having a personal table reserved. Bar also is never clean and maintained.Many people come to raasta but i personally don't like the bob marley kind of music which they play.So for me the place is a NO - NO. Until they atleast work on their seating arrangement." 8893 "2014-08-17 00:43:04" 17 Average https://www.zomato.com/review/oQbkPm  1408216384.0
                      1409569760 540453e70d0cee69ad0ae1cf 2455800 2361861 1 "Adnan Ansari" https://www.zomato.com/users/adnan-ansari-2455800 "I'm a regular at Raasta, but it being a Saturday I wasn't allowed entry inspite of us being 3 couples, some stupid jackass calling himself Mohan (don't know whether that's his true name) the manager was at the entry n he had a sick attitude n didn't know how to behave himself with us, the customers. Sick asol he was. Dudes owning Raasta please look into the matter, Socials catching up real fast and due to such jerkoff managers u might loose out on some serious business. Regards. ." 8893 "2014-08-17 00:34:23" 2 Poor https://www.zomato.com/review/pvLgdn 1 1408215863.0
                      1409569760 540453e70d0cee69ad0ae1d0 2402664 2295391 10 "Namita Batra" https://www.zomato.com/users/namita-batra-2402664 "Good food...good music..great good!" 8893 "2014-08-14 21:40:23" 7 "Very Good" https://www.zomato.com/review/XBpwOm 1 1408032623.0
                      1409569760 540453e70d0cee69ad0ae1d1 4247801 2278461 3 "Vanshaj Taneja" https://www.zomato.com/users/vanshaj-taneja-4247801 "Nice place to hangout with friends." 8893 "2014-08-14 08:00:31" 1 Good https://www.zomato.com/review/pvpZwk  1407983431.0
                      1409569760 540453e70d0cee69ad0ae1d2 2175366 2257591 8 "Surbhi Makkar" https://www.zomato.com/users/surbhi-makkar-2175366 ???? 8893 "2014-08-13 13:02:34" 3 "Very Good" https://www.zomato.com/review/XBvRry  1407915154.0
                      1409569760 540453e70d0cee69ad0ae1d3 2235112 2147141 65 "Ayush Agarwal" https://www.zomato.com/awwdii "The main advantage raasta had was that it entered HKV when it was still not crowded. That helped It establish its name and brand. I always had a good time here but now it doesn't seem inviting. The thing which suffered the most was the service. Maybe the early success got into management's head and they stopped caring. Currently there is nothing about this place which I can list which sets it apart. Tonnes of other options available.I personally Wish for that old friendly raasta which made me come back again and again" 8893 "2014-08-11 19:37:42" 23 Average https://www.zomato.com/review/ZPymla 1 1407766062.0
                      1409569760 540453e70d0cee69ad0ae1d4 2538924 2056921 55 "Natasha Agarwal" https://www.zomato.com/ChocNcheese "The unusual cuisine offered by Raasta makes it a lot of fun to experiment, especially when all their preparations turn out to be a new experience in themselves! The presentation of the dishes makes them all the more appetizing. Bob Marley's music predominates this joint, It also lends a great mood to the place. Yes, it is expensive, but it is worth every penny!" 8893 "2014-08-09 01:59:29" 11 Excellent https://www.zomato.com/review/DDXAAB  1407529769.0
                      1409569760 540453e70d0cee69ad0ae1d5 1602037 2029971 31 "Varun Mishra" https://www.zomato.com/varunmishra "Hauz khas village is always buzzing with energy 24*7, and raasta seemed to be the perfect place to wind out after a busy and tiring week.We were a group of around 8 people.Started our orders with a few mocktails which were okay and quite average.Ordered a side of nachos with cheese to go along with our drinks, but the dish turned out to be horrible. The nachos were saggy and tasted bad, probably because they were stale.We returned the dish and ordered a honey chilly potato as a replacement.This dish was better, the potatoes were slightly crisp but not too much.We also ordered the pasta, and i am yet to visit a place after amici that can just wow me with their pasta!Even raasta served a pretty average one, and the dish was largely ignored on the table.The ambiance of the place was nothing special..but that might be because i visited during the day.Will definitely visit it once more because my friend insisted that this place gets absolutely lively during the...read more" 8893 "2014-08-08 11:33:16" 22  https://www.zomato.com/review/oQeMQQ  1407477796.0
                      1409569760 540453e70d0cee69ad0ae1d6 923133 2024431 0 Nick https://www.zomato.com/Jsjsu "Spent my birthday eve with my friend! The best thing i like was Jamaican chicken wings well cooked really nice taste n gonna visit soon with my whole gang :)" 8893 "2014-08-08 00:57:42" 3 Excellent https://www.zomato.com/review/PKaaLX  1407439662.0
                      1409569760 540453e70d0cee69ad0ae1d7 506273 2018981 23 Kriti https://www.zomato.com/lavignekriti "Lovely and lively place,just how haus khaz village is..similar seating/atmosphere as my bar..recently i visited there on friendships day with friends..pretty good songs playing in bckgrnd,food menu is nice with great variety of liquor..i loved it..:)" 8893 "2014-08-07 21:58:07" 28 Good https://www.zomato.com/review/qzZXZY  1407428887.0
                      1409569760 540453e70d0cee69ad0ae1d8 234782 1973991 52 "Taru Rawat" https://www.zomato.com/users/taru-rawat-234782 "Decent place, good crowd and quite happening.The only issue is that its tooo crowdy but that's not a complaint.Good karaoke sessions, bar is well stocked and good. Food is okayish since i have stopped for lunch quite a couple of times so noting is very extraordinary. Staff is okay but too occupied so they should increase the staff because they are too less to attend to everyone.Well, if you are in Huaz Khas Village, you should definitely stop at this place." 8893 "2014-08-06 10:40:09" 49 "Very Good" https://www.zomato.com/review/XBalNX 1 1407301809.0
                      1409569760 540453e70d0cee69ad0ae1d9 960653 1942731 37 "Naman Anand" https://www.zomato.com/naman_anand "Raasta is a well known place in Hauz Khas Village with a horde of loyal foodies. The place is brilliant with a wonderful ambience and both indoor and outdoor seating. Three of us visited on a saturday afternoon and the place was still full. They have a vast menu with lots of variety so we spent quite some time just going through that. Happy hours were on and we ordered two LIITs and chocolate brownie shake. Now LIIT being one of my favourite cocktails and having tried it at numerous places, I must say the one at Raasta is one of the best. The chocolate brownie shake was also delightful.Moving on to the food, we ordered the Tangy Mango Mushroom, Caribbean Chicken Strips, Creole Chilli Cheese Chicken and Cheese sauce &amp; fresh mushroom penne pasta. The food was brilliant. All of them were perfectly cooked. The food did take some time to come and we had to ask them to hurry up but it was worth the wait. Overall a great experience and awesome place to hangout with...read more" 8893 "2014-08-05 02:36:44" 13  https://www.zomato.com/review/PKRDlw  1407186404.0
                      1409569760 540453e70d0cee69ad0ae1da 715922 1129681 2 "Pritam Singh Rawat" https://www.zomato.com/users/pritam-singh-rawat-715922 "Best Carribean food. U cannot miss their Non Veg Platter. Awesome food. Value for money." 8893 "2014-08-02 20:44:50" 13 "Very Good" https://www.zomato.com/review/qxEMw  1406992490.0
                      1409569760 540453e70d0cee69ad0ae1db 1348421 1078381 9 "Rahul Gupta" https://www.zomato.com/users/rahul-gupta-1348421 "Awesome place awesome crowdFood is sexieAnd best for carrebian  food" 8893 "2014-08-01 00:44:32" 3 Legendary https://www.zomato.com/review/qYKoe  1406834072.0
                      1409569760 540453e70d0cee69ad0ae1dc 2109780 1059311 18 "Aditya Dutta" https://www.zomato.com/users/aditya-dutta-2109780 "Food: 5/5Ambience: 5/5Music: 5/5In just one word: legendary!" 8893 "2014-07-31 12:02:12" 3 Legendary https://www.zomato.com/review/KYGZg  1406788332.0
                      1409569760 540453e70d0cee69ad0ae1dd 2958040 1053808 39 "Delkhush Irani" https://www.zomato.com/users/delkhush-irani-2958040 "Lively ambience, amazing music, mouth watering food! A cool hang out spot! :)" 8893 "2014-07-30 19:29:35" 4 Legendary https://www.zomato.com/review/aeLMw  1406728775.0
                      1409569760 540453e70d0cee69ad0ae1de 37151 1044129 32 "Chandni Gujral Nakra" https://www.zomato.com/users/chandni-gujral-nakra-37151 "Raasta well it's an interesting place with a rather crazy crowd.Been going there on Sundays to support a great artist. Other than not a big fan of the remaining week.The service is good however due to it's popularity it goes mad and the staff gets really hassled. The alcohol choice is excellent and food is a good menu too.The best thing as per me is the paneer tikka and the honey chilli potatoes.Pastas are worth a try too.Music is nice. Wish they had more seating available which is adjustable as per the events set." 8893 "2014-07-27 18:50:22" 7 Average https://www.zomato.com/review/vPldN  1406467222.0
                      1409569760 540453e70d0cee69ad0ae1df 3183329 1043621 6 John https://www.zomato.com/users/john-3183329 "Nice place, good service and good food. Highly recommended," 8893 "2014-07-27 16:10:16" 13 "Very Good" https://www.zomato.com/review/DGXGy  1406457616.0
                      1409569760 540453e80d0cee69ad0ae1e0 56883 1040625 135 Kritika https://www.zomato.com/users/kritika-56883 "A happily crowded place, with okayish seating but good staff and good food was our experience. Being a weekend, we could find a seating indoors and had to make do with a corner outdoor seating. Seating wasnt an issue with us as we just wanted to sit back and talk but the music ( though not bad) was pretty loud and made it difficult for us to talk even while sitting next to each other!What we didnt like was the table wasn't really cleaned and for reasons unknown to us we didnt ask the staff to clean it properly either. A mop or two with tissues was what he had done!Anyways: We had pretty less to eat and drink but here it is:beer: cant go wrong with iit :PCherry and berry smoothie: good quantity, decent flavour but pretty watery.Veg mezze platter: It was huge!2 big pita breads: soft3 falafals: they were great. Different flavours from what we usually get but were moist.3 sambousek: they were stuffed with mozarella cheese and tasted pretty decent2...read more" 8893 "2014-07-26 16:50:34" 84  https://www.zomato.com/review/QzrGZ 4 1406373634.0
