eatery_adddress eatery_cost eatery_cuisine eatery_id eatery_name eatery_F_M_Station  eatery_S_M_Station  eatery_highlights eatery_buffet_price eatery_buffet_details eatery_photos eatery_should_order eatery_popular_reviews eatery_trending eatery_opening_hours eatery_coordinates eatery_rating  eatery_wishlists eatery_title eatery_url converted_epoch eatery_id review_likes review_summary review_text review_time review_url scraped_epoch user_followers user_id user_name user_reviews user_url
     distance name distance name          rating votes              
 Costfor2:Rs.800 "North Indian, Continental, Fast Food" 308196 "The Munchbox"     "[u'Home Delivery', u'Dine-In Not Available', u'Serves Non Veg', u'Bar Not Available', u'Air Conditioned']"   True  8 "[u'Late Night Eats']" "7 PM to 03:30 AM" 28.5971166667,77.0493166667 4.4 "82 votes" Excellent 105 https://www.zomato.com/ncr/the-munchbox-malviya-nagar-delhi  308196
                      1409569341 5404523e0d0cee69ad0ae194 5576161 2805411 10 "Nehal Kaur" https://www.zomato.com/users/nehal-kaur-5576161 "They're definitely the BEST Delivery Joint in Delhi NCR at this time!!!! Its always an amazing experience ordering food from ""The Munchbox"" right from the phone call which is always answered in a very polite and professional manner..they'd give you the best suggestions if you're ordering for the first time and welcome you nicely if you're a regular...I've ordered so many times that I've lost count...and there quality and service have always been consistent which as a customer I obviously love!!!! Their Packaging is great....the food always arrives fresh and warm.. As for the delivery time..I have always been Lucky i guess...they've always delivered within the time they mentioned while taking the order...Plus they've spoiled me rotten by sending a complimentary salad..or a brownie every once in a while...now I get a lil sad when i dunt get one...Hahaha!!Coming to the food..I've tried Just bout everything...nd honestly picking a favorite is difficult... I'd...read more" 308196 "2014-09-01 08:11:42" 17  https://www.zomato.com/review/KeBZkB 2 1409539302.0
                      1409569341 5404523f0d0cee69ad0ae195 1949628 2767761 10 "Akshay Gautam" https://www.zomato.com/users/akshay-gautam-1949628 "The 3.0 rating has two stories related to it.Day 1 | 1:00 AMLooks like a nice place, lets order. One paneer tikka roll and one veg burger please. After exact 30 minutes, I get my order and I am very happy to see the packaging. I open the boxes, and I find a pretty decent burger with a humongous patty. Open the second box, and I find the paneer tikka roll..errr, its paneer tikka. Paneer Tikka @1:30 am, sitting alone on my bed. I didnt mind though, 4 stars for the food. Review over.Day 2 : I sleep earlyDay 3 : 12:45 AmI really need to eat the paneer tikka roll. One paneer tikka ROLL and italian veg sandwich please. Im standing in my balcony because I dont want the delivery guy to wake up my little sister. 30,40,50 minutes are up. After an hour and five minutes, I receive my order. Thought about sending it back, but I am not one of those jo bane hue khaane ko chodd dein. :PSo, 1 hour 10 mins plus no change with the delivery boy contributes to 2 stars...read more" 308196 "2014-08-31 01:14:00" 1  https://www.zomato.com/review/peeBoX  1409427840.0
                      1409569341 5404523f0d0cee69ad0ae196 139279 2765781 87 "Kali Walia" https://www.zomato.com/kaliwalia "Hunger pangs lead to major mood swings which can only be resolved by a hearty meal of comfort food of the most delicious kind. This is what the MunchBox provides one with.First off, I was completely blown by their menu. The variety that they have for a late night food joint is remarkable. My cousin and I ordered Mac n Cheese, The All American Sub and the Crispy Chicken Burger. And the prices aren't too heavy on the pocket. We were impressed that the delivery was done under twenty minutes and the packaging was so neat and cute! The Mac n Cheese was a little disappointing since it turned out to be the fried kind but the American Sub compensated for it. Mouth-watering amounts of cheddar and ham led us straight to food paradise. The crispy chicken burger looked tiny but turned out to be quite a heavy deal but the interesting accompaniment were the VERY thinly cut chips. Cross cutting right there! Also, I absolutely loved the sweet chili sauce and the coleslaw...read more" 308196 "2014-08-31 00:08:44" 23  https://www.zomato.com/review/qvvXrZ 2 1409423924.0
                      1409569341 5404523f0d0cee69ad0ae197 5263081 2765711 1 Prateek https://www.zomato.com/users/prateek-5263081 "Just another night delivery service, with average food, have ordered a couple of times from here which included pasta, burgers and a sandwich, all veg, wont comment on thr non veg items, as it wont be fair, pasta is decent, but guys you should give some bread and oregano with it, coming onto the burgers, again decent nothing to wine about, but again the french fries, like if they were french fries and please, a ketchup sache wont harm you so much, will it? Sandwiches, average, would have liked if it were grilled, any how all things said and done, not a very pleasant experience, would rather wait for a bit more to get it delivered from captain grub or even crave busters for that matter, and you should really sort out your packaging guys, like you served the sandwich in two boxes, but seriously both of them could fit into one preety easily, just an advice, thanks ????" 308196 "2014-08-31 00:06:29" 1 Poor https://www.zomato.com/review/KeeZpR  1409423789.0
                      1409569341 5404523f0d0cee69ad0ae198 57332 2761571 29 "Nupur Agrawala" https://www.zomato.com/Nupura "I just finished licking my plate off..What food guys!!!!Ordered Italian Grill Veg Sandwich and Zarba Spaghetti..Loved loved loved all of it..The sandwich was delicious.. The bread was crisp and fresh.. The sauce accompanying the dish was yummy too..The spaghetti was equally good.. Just that I had asked it to be spicy but it got way too spicy.. It was a task trying to eat with a running nose :PThe 0.5 was deducted just for that..I wish I had clicked some pics but I got too busy eating n then got lost in the food :PQuantity wise sandwich was enough for just one person but the spaghetti was for 2 ppl easily..The meal costed me Rs. 500/- which was pretty decent for the quality!Otherwise it's probably the only delivery which has ever come close to the restaurant feel wala food..M gonna be a regular now for sure!!!!Please please maintain the quality guys!" 308196 "2014-08-30 22:25:21" 13 Excellent https://www.zomato.com/review/ovvGAp 2 1409417721.0
                      1409569341 5404523f0d0cee69ad0ae199 66369 2751671 25 "Apoorv Khatreja" https://www.zomato.com/apoorvk "First impressions: not too impressive. I see people raving about their packaging, but judging from what I got, it was pretty standard.We ordered a Crispy Veg Burger and a Roast Chicken with Mashed Potatoes and Vegetables. We got a lot of boxes for the amount of food we ordered (read inefficient packaging).The burger was decent, but left room for more to be desired. The fries were weird and small. When we asked before placing our order if the portion was big enough for 1, we got assured that since the burger was accompanied with fries and coleslaw, it'd be plenty. Which was not the case at all. The portions for both the fries and the coleslaw were ridiculously small. I wouldn't have minded if they bumped up the price a bit but made sure that the portion was more filling.The roast chicken itself was split into 2 boxes (2 pieces) and 1 more box for the mashed potatoes and the veggies. Both the mashed potatoes and the veggies were delicious. The chicken had a...read more" 308196 "2014-08-30 16:26:53" 13  https://www.zomato.com/review/ovvgle  1409396213.0
                      1409569341 5404523f0d0cee69ad0ae19a 5520491 2744231 2 "Raghav Sharma" https://www.zomato.com/users/raghav-sharma-5520491 "The Munchbox is a savior when it comes to late night delivery. Well trained staff and prompt delivery only makes the experience more pleasant all together. Great packaging ! I'm sure they have won't waste as much time with delivery as you would just deciding what to order. Their exceptionally large menu ( almost everything I tried was great except the pita and hummus (( bad pita))) makes it a delight to call them multiple times in a week!! Its gonna be while before you would have repeat your order if you desire yp try something new every time !! Hope they keep up with the good work and keep delighting us with great late night munching !!" 308196 "2014-08-30 12:02:46" 1 Legendary https://www.zomato.com/review/PYKomx 1 1409380366.0
                      1409569342 5404523f0d0cee69ad0ae19b 495917 2694251 58 "The 20 Something Foodie" https://www.zomato.com/the20somethingfoodie "I was pleasantly surprised when I checked out The Munchbox menu: for a take-out place in Malviya, their menu is quite fancy. We tried their subs (the chicken-and-bacon Subonara, the BBQ chicken, and the All American Sub) and their veg pasta: all of which were quite excellent.What impressed me the most was their packaging: the subs came with the fresh, warm bread in one container and the filling in another, so as to not make it soggy by the time it was delivered. (Such foresight. Much wow.) The All American Sub even had a tiny container dainitly labelled 'Roasted Sauce' with it!Plus, the best part is that they deliver LATE into the night...so when your hungry, drunk friend shows up at your doorstep unannounced at 12.30 at night, you know where you can order from!Overall, highly recommended." 308196 "2014-08-28 12:56:06" 28 "Very Good" https://www.zomato.com/review/AKNXLZ 7 1409210766.0
                      1409569342 5404523f0d0cee69ad0ae19c 2051190 2685741 2 Venu https://www.zomato.com/users/venu-2051190 "Great service.. Awesome food.. The zarba spaghetti pasta is to die for!!!  five stars from my side!!! Good job!!" 308196 "2014-08-28 00:20:36" 1 Legendary https://www.zomato.com/review/ZMKngl 2 1409165436.0
                      1409569342 5404523f0d0cee69ad0ae19d 1392661 2659751 10 "Raghav Aggarwal" https://www.zomato.com/users/raghav-aggarwal-1392661 "Awesome food. Pastas all are good. hummus is disappointing. But still real decent food." 308196 "2014-08-27 00:19:58" 7 Excellent https://www.zomato.com/review/AMPLzP 1 1409078998.0
                      1409569342 5404523f0d0cee69ad0ae19e 149070 2605281 6 "Vaibhav Sawhney" https://www.zomato.com/users/vaibhav-sawhney-149070  308196 "2014-08-25 00:13:20" 10 Good https://www.zomato.com/review/qzaLpw 2 1408905800.0
                      1409569342 5404523f0d0cee69ad0ae19f 3146365 2572781 12 Avi https://www.zomato.com/users/avi-3146365 "AWESOME ! SIMPLY AWESOME !!!Would recommend this place to all the night animals out here... Am glad i found this place... :)Just try it once, and am sure you won't regret...- Awesome customer service- 10/10 on customer satisfaction- Real quick delivery- Great packaging- Extremely hygienic (in terms of food quality)- Value for moneyMUST MENTION that the menu is Great, with some not very common but really cool options...Everything in the menu is good... And they do have hell lotta varieties and options for everyone...Haven't tried the Desi part of the menu much (not much of a desi food lover), but the Foreign part is SUPER AWESOME...DO Check out the MUNCHIES, PASTA and THE MUNCH BOX MEALS.But don't forget to to Try the organic salads... All of them taste great...And if at all you are a lebanese food lover, then simple try the Lebanese Mezze Platter... You surely would love it...If you get an option like this, and that to at night...read more" 308196 "2014-08-24 03:09:52" 3  https://www.zomato.com/review/qzwBmz 5 1408829992.0
                      1409569342 5404523f0d0cee69ad0ae1a0 65675 2571541 8 "Manav Goel" https://www.zomato.com/users/manav-goel-65675 "amazing food..ordered a juicy beef burger, a italian chicken sandwich and a chicken tikka roll..was hesitant before ordering but was really surprised with the quality and taste of all the 3 items...found the place to order really good food at odd hours..super tasty loved it all" 308196 "2014-08-24 02:07:23" 2 Legendary https://www.zomato.com/review/ZPodxX 3 1408826243.0
                      1409569342 5404523f0d0cee69ad0ae1a1 3205534 2402131 16 "Prachi Kapil" https://www.zomato.com/users/prachi-kapil-3205534 "I've been hearing a lot about the munchbox lately and today I ordered there for the first time. Must say it's the best decision I've made this week which put the cherry on top of my weekend. The potato skins with bacon were to die for and this is one place which used the right cheese..I mean it's really irritating when you see places using cheese which isn't the right texture for the kind of food it's used in and a lot of places use the cheapest kinds for coat cutting but that wasn't the case here and I'm as it is a big fan of good cheese. they were loaded with perfection and it was a mouthgasm with every bite. The bacon bits were impeccably done and every bite was a moment to be savoured! The burger was delicious and I finished it even though my stomach was agreeing to disagree. Must put in a special mention for arjun, who sent me a brownie for no reason at all. it really made my day and it's the first time I'm thanking someone for making me overeat. Hahaha a...read more" 308196 "2014-08-18 03:01:21" 1  https://www.zomato.com/review/PKoXZE 6 1408311081.0
